datetime,timestamp,open,high,low,close,volume
2021-09-20 19:30:00,1632166500,4758422.109,4800100.0,4758422.109,4777867.558,6.61543086
2021-09-20 19:45:00,1632167100,4787594.072,4810500.0,4768300.0,4801384.988,4.30450737
2021-09-20 20:00:00,1632168000,4799800.0,4809500.0,4793700.0,4793700.0,0.81616897
2021-09-20 20:15:00,1632168900,4797100.0,4798800.0,4775300.0,4775300.0,0.40500649
2021-09-20 20:30:00,1632169860,4777900.0,4789200.0,4743200.0,4751000.0,1.1626794800000002
2021-09-20 20:45:00,1632170700,4754000.0,4763800.0,4729000.0,4763800.0,1.14153897
2021-09-20 21:00:00,1632171600,4766658.966,4788612.05,4751600.0,4784500.0,1.56059225
2021-09-20 21:15:00,1632172500,4780200.0,4791800.0,4777100.0,4788700.0,2.15279407
2021-09-20 21:30:00,1632173460,4785100.0,4788100.0,4780320.049,4788100.0,1.33456179
2021-09-20 21:45:00,1632174300,4788200.0,4801700.0,4759500.0,4759500.0,0.45561005
2021-09-20 22:00:00,1632175200,4766400.0,4787847.13,4764300.0,4786300.0,0.19750157
2021-09-20 22:15:00,1632176160,4786710.234,4797800.0,4786710.234,4796140.36,0.51491975
2021-09-20 22:30:00,1632177060,4793918.202,4805700.0,4793918.202,4800100.0,0.36233688
2021-09-20 22:45:00,1632177960,4781237.378,4781237.38,4712300.0,4744900.0,6.73113288
2021-09-20 23:00:00,1632178800,4743200.0,4773400.0,4699898.743,4722100.0,8.33320888
2021-09-20 23:15:00,1632179700,4737000.0,4737000.0,4665300.0,4665300.0,4.04924677
2021-09-20 23:30:00,1632180600,4671100.0,4687200.0,4656200.0,4667719.668,5.31579083
2021-09-20 23:45:00,1632181500,4669141.42,4708300.0,4667719.668,4708300.0,3.57359596
2021-09-21 00:00:00,1632182400,4707900.0,4708600.0,4588500.0,4600200.0,19.61273366
2021-09-21 00:15:00,1632183300,4609450.78,4637800.0,4407000.0,4493073.853,77.92794477
2021-09-21 00:30:00,1632184200,4489500.0,4611700.0,4469865.148,4592800.0,25.2911867
2021-09-21 00:45:00,1632185100,4596400.0,4597100.0,4560900.0,4561200.0,8.08852519
2021-09-21 01:00:00,1632186000,4565700.0,4599300.0,4553400.0,4564300.0,4.45279222
2021-09-21 01:15:00,1632186900,4564500.0,4629900.0,4561300.0,4629500.0,4.86239593
2021-09-21 01:30:00,1632187800,4624200.0,4689600.0,4614873.575,4673600.0,4.07316272
2021-09-21 01:45:00,1632188700,4674200.0,4689300.0,4655500.0,4685800.0,3.01474227
2021-09-21 02:00:00,1632189600,4685598.044,4695700.0,4660400.0,4695700.0,9.615962679999999
2021-09-21 02:15:00,1632190500,4695800.0,4697200.0,4675300.0,4678600.0,6.18610405
2021-09-21 02:30:00,1632191400,4677600.0,4688000.0,4671600.0,4688000.0,1.8596251000000001
2021-09-21 02:45:00,1632192300,4684400.0,4723800.0,4684400.0,4706400.0,2.3114044799999998
2021-09-21 03:00:00,1632193200,4703300.0,4707400.0,4694000.0,4707400.0,0.5315449600000001
2021-09-21 03:15:00,1632194100,4706700.0,4706800.0,4687100.0,4700800.0,2.67180199
2021-09-21 03:30:00,1632195000,4693400.0,4693400.0,4675000.0,4686677.785,1.45009981
2021-09-21 03:45:00,1632195900,4685143.756,4688700.0,4669300.0,4679300.0,3.30992337
2021-09-21 04:00:00,1632196800,4676000.906,4700700.0,4652000.0,4663388.061,5.65045529
2021-09-21 04:15:00,1632197700,4667100.0,4670000.0,4641000.0,4642400.0,0.8672017
2021-09-21 04:30:00,1632198600,4643100.0,4657300.0,4639500.0,4639500.0,0.58217401
2021-09-21 04:45:00,1632199500,4639400.0,4658700.0,4638400.0,4652649.551,1.0506776
2021-09-21 05:00:00,1632200400,4653700.0,4664900.0,4640800.0,4644700.0,2.45636703
2021-09-21 05:15:00,1632201300,4643152.406,4648400.0,4622800.0,4647400.0,2.5892195900000003
2021-09-21 05:30:00,1632202200,4647800.0,4657400.0,4646000.0,4655300.0,2.73725732
2021-09-21 05:45:00,1632203100,4657400.0,4684400.0,4647200.0,4666800.0,6.5770468
2021-09-21 06:00:00,1632204000,4667100.0,4693600.0,4667100.0,4677000.0,4.42701085
2021-09-21 06:15:00,1632204960,4672500.0,4695400.0,4672500.0,4694100.0,1.09410729
2021-09-21 06:30:00,1632205800,4695200.0,4720700.0,4685000.0,4704000.0,5.084975050000001
2021-09-21 06:45:00,1632206700,4699200.0,4699200.0,4685100.0,4699000.0,3.94601741
2021-09-21 07:00:00,1632207600,4699500.0,4710000.0,4699500.0,4704400.0,1.70729836
2021-09-21 07:15:00,1632208500,4704100.0,4713200.0,4696400.0,4713200.0,1.8168893700000002
2021-09-21 07:30:00,1632209400,4708130.667,4738700.0,4691700.0,4730000.0,3.8099068299999996
2021-09-21 07:45:00,1632210300,4734700.0,4751500.0,4723700.0,4743500.0,6.13530914
2021-09-21 08:00:00,1632211200,4743800.0,4745000.0,4730700.0,4732500.0,6.87595049
2021-09-21 08:15:00,1632212100,4730600.0,4744700.0,4722700.0,4743800.0,4.01763957
2021-09-21 08:30:00,1632213000,4741100.0,4741100.0,4728200.0,4730300.0,0.71032812
